Overlevingstafel naar leeftijd op laatste verjaardag, 1995/1996-1999/2000;;
Onderwerpen;Levenden (tafelbevolking);Levenden (tafelbevolking)
Geslacht;Mannen;
Leeftijd;absoluut;Simulatie
0 jaar;100000;100000
1 jaar;99416;99380
2 jaar;99366;99334
3 jaar;99329;99291
4 jaar;99304;99259
5 jaar;99285;99243
6 jaar;99264;99223
7 jaar;99247;99210
8 jaar;99230;99190
9 jaar;99216;99175
10 jaar;99204;99166
11 jaar;99190;99150
12 jaar;99179;99140
13 jaar;99160;99116
14 jaar;99141;99101
15 jaar;99117;99079
16 jaar;99090;99046
17 jaar;99045;99002
18 jaar;98996;98947
19 jaar;98941;98892
20 jaar;98878;98829
21 jaar;98810;98767
22 jaar;98746;98705
23 jaar;98681;98649
24 jaar;98612;98591
25 jaar;98544;98530
26 jaar;98472;98453
27 jaar;98404;98379
28 jaar;98336;98316
29 jaar;98270;98249
30 jaar;98204;98180
31 jaar;98134;98107
32 jaar;98058;98043
33 jaar;97977;97959
34 jaar;97893;97885
35 jaar;97808;97798
36 jaar;97718;97711
37 jaar;97622;97618
38 jaar;97514;97524
39 jaar;97392;97403
40 jaar;97266;97259
41 jaar;97126;97132
42 jaar;96972;96960
43 jaar;96795;96808
44 jaar;96603;96634
45 jaar;96386;96391
46 jaar;96165;96176
47 jaar;95916;95929
48 jaar;95621;95663
49 jaar;95318;95351
50 jaar;94972;94994
51 jaar;94609;94621
52 jaar;94197;94207
53 jaar;93734;93748
54 jaar;93239;93244
55 jaar;92681;92702
56 jaar;92072;92106
57 jaar;91404;91411
58 jaar;90674;90676
59 jaar;89859;89893
60 jaar;88986;89057
61 jaar;87977;88032
62 jaar;86857;86896
63 jaar;85635;85709
64 jaar;84286;84349
65 jaar;82769;82809
66 jaar;81118;81124
67 jaar;79295;79272
68 jaar;77336;77263
69 jaar;75239;75232
70 jaar;72983;73036
71 jaar;70584;70666
72 jaar;67955;68061
73 jaar;65153;65138
74 jaar;62183;62070
75 jaar;59002;58820
76 jaar;55705;55492
77 jaar;52313;52035
78 jaar;48736;48467
79 jaar;45063;44839
80 jaar;41296;41174
81 jaar;37513;37419
82 jaar;33730;33572
83 jaar;29985;29841
84 jaar;26300;26163
85 jaar;22805;22721
86 jaar;19553;19577
87 jaar;16462;16469
88 jaar;13661;13730
89 jaar;11080;11094
90 jaar;8806;8932
91 jaar;6870;6932
92 jaar;5230;5292
93 jaar;3898;3932
94 jaar;2860;2906
95 jaar;2042;2087
96 jaar;1420;1448
97 jaar;949;948
98 jaar;603;600
99 jaar;381;379
100 jaar;234;231
101 jaar;127;116
102 jaar;62;60
103 jaar;26;20
104 jaar;13;9
105 jaar;7;6
Source:  © Centraal Bureau voor de Statistiek, Voorburg/Heerlen 2007-11-07;;
